Timestamp,Analog1_chA,Analog1_chB,other
980,1815.000,1271.000,
984,1819.000,1282.000,
988,1818.000,1287.000,
992,1810.000,1288.000,
996,1766.000,1266.000,
1000,1789.000,1264.000,
1004,1794.000,1273.000,
1008,1786.000,1263.000,
1012,1780.000,1256.000,
1016,1771.000,1253.000,
1020,1783.000,1259.000,
1024,1771.000,1264.000,
1028,1776.000,1246.000,
1032,1772.000,1248.000,
1036,1771.000,1258.000,
1040,1781.000,1256.000,
1044,2468.000,1648.000,
1048,2501.000,1658.000,
1052,2539.000,1687.000,
1056,2585.000,1722.000,
1060,2611.000,1753.000,
1064,2631.000,1755.000,
1068,2650.000,1766.000,
1072,2667.000,1808.000,
1076,2683.000,1810.000,
1080,2681.000,1812.000,
1084,2686.000,1807.000,
1088,2685.000,1828.000,
1092,2671.000,1828.000,
1096,2652.000,1820.000,
1100,2636.000,1809.000,
1104,2620.000,1808.000,
1108,2581.000,1802.000,
1112,2567.000,1782.000,
1116,2532.000,1757.000,
1120,2504.000,1751.000,
1124,2476.000,1739.000,
1128,2439.000,1721.000,
1132,2402.000,1696.000,
1136,2392.000,1676.000,
1140,2343.000,1669.000,
1144,2312.000,1648.000,
1148,2273.000,1616.000,
1152,2239.000,1604.000,
1156,2232.000,1587.000,
1160,2187.000,1560.000,
1164,2150.000,1538.000,
1168,2128.000,1514.000,
1172,2112.000,1509.000,
1176,2080.000,1487.000,
1180,2050.000,1468.000,
1184,2036.000,1450.000,
1188,2018.000,1445.000,
1192,2005.000,1429.000,
1196,1971.000,1400.000,
1200,1945.000,1385.000,
1204,1938.000,1387.000,
1208,1917.000,1379.000,
1212,1898.000,1360.000,
1216,1875.000,1334.000,
1220,1872.000,1334.000,
1224,1859.000,1327.000,
1228,1845.000,1315.000,
1232,1825.000,1297.000,
1236,1817.000,1296.000,
1240,1812.000,1290.000,
1244,1795.000,1283.000,
1248,1779.000,1263.000,
1252,1777.000,1266.000,
1256,1777.000,1263.000,
1260,1758.000,1181.000,
1264,1759.000,1209.000,
1268,1759.000,1215.000,
1272,1752.000,1220.000,
1276,1752.000,1219.000,
1280,1759.000,1229.000,
1284,1716.000,1209.000,
1288,1710.000,1195.000,
1292,1715.000,1208.000,
1296,1723.000,1216.000,
1300,1716.000,1216.000,
1304,1706.000,1199.000,
1308,1707.000,1203.000,
1312,1718.000,1221.000,
1316,1712.000,1208.000,
1320,1700.000,1200.000,
1324,1701.000,1199.000,
1328,1704.000,1211.000,
1332,1703.000,1205.000,
1336,1693.000,1195.000,
1340,1698.000,1198.000,
1344,1697.000,1208.000,
1348,1692.000,1205.000,
1352,1691.000,1193.000,
1356,1696.000,1189.000,
1360,1700.000,1204.000,
1364,1701.000,1210.000,
1368,1691.000,1202.000,
1372,1698.000,1196.000,
1376,1724.000,1212.000,
1380,1723.000,1215.000,
1384,1755.000,1213.000,
