Timestamp,Analog1_chA,Analog1_chB
980,3319.000,2207.000,
984,3315.000,2209.000,
988,3308.000,2231.000,
992,3308.000,2225.000,
996,3311.000,2211.000,
1000,3320.000,2212.000,
1004,3312.000,2234.000,
1008,3308.000,2233.000,
1012,3302.000,2209.000,
1016,3311.000,2214.000,
1020,3301.000,2223.000,
1024,3307.000,2224.000,
1028,3330.000,2218.000,
1032,3304.000,2207.000,
1036,3310.000,2211.000,
1040,3305.000,2234.000,
1044,3305.000,2215.000,
1048,3300.000,2209.000,
1052,3302.000,2215.000,
1056,3306.000,2215.000,
1060,3300.000,2219.000,
1064,3302.000,2204.000,
1068,3312.000,2207.000,
1072,3294.000,2228.000,
1076,3301.000,2215.000,
1080,3294.000,2208.000,
1084,3298.000,2216.000,
1088,3296.000,2219.000,
1092,3300.000,2219.000,
1096,3303.000,2209.000,
1100,3299.000,2207.000,
1104,3295.000,2224.000,
1108,3305.000,2224.000,
1112,3313.000,2209.000,
1116,3309.000,2207.000,
1120,3319.000,2239.000,
1124,3508.000,2350.000,
1128,3510.000,2337.000,
1132,3496.000,2326.000,
1136,3485.000,2336.000,
1140,3466.000,2336.000,
1144,3443.000,2315.000,
1148,3428.000,2296.000,
1152,3416.000,2285.000,
1156,3380.000,2287.000,
1160,3351.000,2279.000,
1164,3335.000,2250.000,
1168,3302.000,2232.000,
1172,3275.000,2237.000,
1176,3260.000,2224.000,
1180,3237.000,2195.000,
1184,3203.000,2177.000,
1188,3197.000,2192.000,
1192,3179.000,2180.000,
1196,3180.000,2160.000,
1200,3167.000,2142.000,
1204,3259.000,2183.000,
1208,3268.000,2197.000,
1212,3277.000,2200.000,
1216,3289.000,2192.000,
1220,3290.000,2193.000,
1224,3292.000,2210.000,
1228,3295.000,2218.000,
1232,3302.000,2204.000,
1236,3299.000,2201.000,
1240,3308.000,2219.000,
1244,3308.000,2228.000,
1248,3311.000,2212.000,
1252,3311.000,2200.000,
1256,3308.000,2215.000,
1260,3301.000,2232.000,
1264,3305.000,2221.000,
1268,3304.000,2207.000,
1272,3299.000,2210.000,
1276,3305.000,2233.000,
1280,3305.000,2218.000,
1284,3304.000,2200.000,
1288,3296.000,2218.000,
1292,3296.000,2225.000,
1296,3293.000,2215.000,
1300,3290.000,2204.000,
1304,3279.000,2207.000,
1308,3281.000,2222.000,
1312,3285.000,2216.000,
1316,3275.000,2201.000,
1320,3271.000,2202.000,
1324,3272.000,2214.000,
1328,3260.000,2210.000,
1332,3264.000,2190.000,
1336,3261.000,2190.000,
1340,3253.000,2211.000,
1344,3262.000,2199.000,
1348,3247.000,2189.000,
1352,3253.000,2184.000,
1356,3243.000,2195.000,
1360,3238.000,2200.000,
1364,3213.000,2171.000,
1368,3215.000,2151.000,
1372,3207.000,2163.000,
1376,3214.000,2175.000,
1380,3213.000,2174.000,
1384,3212.000,2161.000,
1388,3207.000,2155.000,
1392,3216.000,2166.000,
1396,3217.000,2175.000,
1400,3225.000,2156.000,
1404,3218.000,2155.000,
1408,3215.000,2170.000,
1412,3219.000,2185.000,
1416,3220.000,2160.000,
1420,3225.000,2151.000,
1424,3217.000,2170.000,
1428,3220.000,2185.000,
1432,3226.000,2166.000,
1436,3223.000,2154.000,
1440,3228.000,2173.000,
1444,3228.000,2182.000,
1448,3222.000,2166.000,
1452,3215.000,2151.000,
1456,3218.000,2159.000,
1460,3217.000,2182.000,
1464,3224.000,2165.000,
1468,3211.000,2155.000,
1472,3228.000,2169.000,
1476,3221.000,2184.000,
1480,3209.000,2176.000,
1484,3226.000,2164.000,
1488,3211.000,2176.000,
1492,3222.000,2173.000,
1496,3211.000,2175.000,
1500,3226.000,2163.000,
1504,3222.000,2165.000,
1508,3225.000,2178.000,
1512,3224.000,2184.000,
1516,3228.000,2169.000,
1520,3232.000,2166.000,
1524,3268.000,2196.000,
1528,3274.000,2212.000,
1532,3275.000,2206.000,
1536,3274.000,2185.000,
1540,3288.000,2196.000,
1544,3275.000,2216.000,
1548,3280.000,2207.000,
1552,3279.000,2191.000,
1556,3281.000,2187.000,
1560,3280.000,2204.000,
1564,3283.000,2207.000,
1568,3282.000,2190.000,
1572,3274.000,2191.000,
1576,3263.000,2203.000,
1580,3278.000,2217.000,
1584,3271.000,2191.000,
1588,3271.000,2185.000,
1592,3272.000,2205.000,
1596,3279.000,2214.000,
1600,3275.000,2202.000,
1604,3275.000,2192.000,
1608,3283.000,2202.000,
1612,3288.000,2217.000,
