time,gain
0.02,0.0
0.06,0.0
0.08,0.0
0.1,0.0
0.2,0.0
0.22,0.0
0.24,0.0
0.26,0.0
0.28,0.0
0.3,0.0
0.32,0.0
0.34,0.0
0.36,0.0
0.38,0.0
0.4,0.0
0.46,0.0
0.48,0.0
0.5,0.0
0.52,0.0
0.54,0.0
0.56,0.0
0.58,0.0
0.6,0.0
0.62,0.0
0.64,0.0
0.66,0.0
0.68,0.0
0.7,0.0
0.72,0.0
0.74,0.0
0.76,0.0
0.78,0.0
0.8,0.0
0.82,0.0
0.84,0.0
0.86,0.0
0.88,0.0
0.9,0.0
0.92,0.0
0.940000000000001,0.0
0.960000000000001,0.0
0.980000000000001,0.0
1.0,0.0
1.04,0.0
1.06,0.0
1.08,0.0
1.1,0.0
1.12,0.0
1.14,0.0
1.16,0.0
1.2,0.0
1.22,0.0
1.24,0.0
1.26,0.0
1.28,0.0
1.32,0.0
1.36,0.0
1.38,0.0
1.4,0.0
1.42,0.0
1.44,0.0
1.46,0.0
1.48,0.0
1.5,0.0
1.52,0.0
1.54,0.0
1.56,0.0
1.58,0.0
1.6,0.0
1.62,0.0
1.64,0.0
1.66,0.0
1.7,0.0
1.74,0.0
1.78,0.0
1.82,0.0
1.86,0.0
1.9,0.0
1.92,0.0
1.96,0.0
1.98,0.0
2.0,0.0
2.02,0.0
2.04,0.0
2.16,0.0
2.18,0.0
2.2,0.0
2.24,0.0
2.26,0.0
2.3,0.0
2.36,0.0
2.38,0.0
2.42,0.0
2.44,0.812503213248562
2.46,0.0
2.48,0.0
2.52,0.0
2.54,0.0
2.56,0.0
2.58,0.0
2.6,0.0
2.62,0.0
2.64,0.0
2.66,0.0
2.68,0.0
2.7,0.0
2.72,0.0
2.74,0.0
2.78,0.0
2.8,0.0
2.82,0.0
2.84,0.0
2.86,0.0
2.88,0.0
2.9,0.0
2.92,0.0
2.94,0.0
2.96,0.0
2.98,0.0
3.0,0.0
3.02,0.0
3.04,0.0
3.08,0.0
3.1,0.0
3.14,0.0
3.16,0.0
3.22,0.0
3.24,0.0
3.26,0.0
3.28,0.0
3.3,0.0
3.32,0.0
3.34,0.584239869711243
3.36,0.0
3.38,0.0
3.4,0.0
3.42,0.0
3.44,0.0
3.46,0.0
3.5,0.0
3.52,0.0
3.56,0.0
3.58,0.0
3.6,0.0
3.62,0.0
3.64,0.0
3.66,0.0
3.68,0.0
3.7,0.0
3.72,0.0
3.74,0.0
3.76,0.0
3.78,0.0
3.8,0.0
3.82,0.0
3.88,0.0
3.9,0.0
3.92,0.0
3.94,0.0
3.96,0.0
4.0,0.0
4.02,0.0
4.04,0.0
4.08,0.0
4.12,0.0
4.14,0.0
4.16,0.0
4.18,0.0
4.2,0.0
4.22,0.0
4.24,0.0
4.26,0.0
4.28,0.0
4.3,0.0
4.32,0.0
4.34,0.0
4.35999999999999,0.0
4.37999999999999,0.0
4.39999999999999,0.0
4.41999999999999,0.0
4.43999999999999,0.0
4.45999999999999,0.0
4.47999999999999,0.0
4.49999999999999,0.0
4.51999999999999,0.0
4.57999999999999,0.0
4.59999999999999,0.0
4.61999999999999,0.0
4.63999999999999,0.0
4.65999999999999,0.0
4.67999999999999,0.0
4.69999999999999,0.0
4.73999999999999,0.0
4.77999999999999,0.0
4.79999999999999,0.0
4.81999999999999,0.0
4.85999999999998,0.0
4.89999999999998,0.0
4.91999999999998,0.0
4.95999999999998,0.0
4.97999999999998,0.0
4.99999999999998,0.0
5.01999999999998,0.0
5.05999999999998,0.0
5.07999999999998,0.0
5.09999999999998,0.0
5.11999999999998,0.0
5.13999999999998,0.0
5.15999999999998,0.259324773490357
5.17999999999998,0.0
5.19999999999998,0.0
5.21999999999998,0.0
5.23999999999998,0.0
5.29999999999997,0.0
5.31999999999997,0.0
5.33999999999997,0.0
5.37999999999997,0.0
5.39999999999997,0.0
5.41999999999997,0.0
5.43999999999997,0.0
5.45999999999997,0.0
5.47999999999997,0.0
5.49999999999997,0.0
5.51999999999997,0.0
5.53999999999997,0.0
5.55999999999997,0.0
5.57999999999997,0.0
5.59999999999997,0.0
5.61999999999997,0.0
5.63999999999997,0.0
5.65999999999997,0.0
5.67999999999997,0.0
5.69999999999997,0.0
5.71999999999997,0.0
5.73999999999997,0.648147897876367
5.75999999999997,0.0
5.77999999999996,0.0
5.79999999999996,0.0
5.81999999999996,0.0
5.85999999999996,0.0
5.87999999999996,0.0
5.89999999999996,0.0
5.93999999999996,0.0
5.95999999999996,0.0
5.97999999999996,0.0
5.99999999999996,0.0
6.01999999999996,0.0
6.03999999999996,0.0
6.05999999999996,0.0
6.13999999999996,0.0
6.17999999999996,0.0
6.19999999999996,0.0
6.21999999999996,0.0
6.25999999999995,0.0
6.27999999999995,0.0
6.29999999999995,0.0
6.31999999999995,0.0
6.33999999999995,0.0
6.35999999999995,0.0
6.37999999999995,0.0
6.39999999999995,0.0
6.41999999999995,0.0
6.43999999999995,0.0
6.45999999999995,0.0
6.47999999999995,0.0
6.49999999999995,0.0
6.51999999999995,0.754059944393694
6.53999999999995,0.0
6.55999999999995,0.0
6.57999999999995,0.0
